id,customer_id,machine_group_id,machine_type_id,machine_type_detail_id,machine_tariffplan_id,vendor,model,registration_number,registration_year,construction_year,start_service_year,factory_number,ce,notified_organism_id,carried_weight,max_liters,ps_bar,fluid,producibility,region,province,city,zipcode,address,first_audit_at,last_audit_at,next_audit_at,usage,customer_machine_code,attachment_id,note,state,next_audit_type_code,reg_numb_year,reg_numb_activity_code,reg_numb_code,reg_numb_province,subject_to_startups,panieri_riserva,on_number,is_ped_group,group_factory_number,group_reg_number,ped_category,fluid_type,is_ui_group,ped_reg_numb_year,ped_reg_numb_activity_code,ped_reg_numb_code,ped_reg_numb_province,gvr_category,temp_min,temp_max,fluid_state,address_n
1,1,NULL,3,11,44,SIS,0,599/90 VA,1990,0,1990,7634,--,NULL,NULL,30000,17,0,0,9,39,1887,3013,S. Cecilia,1990-06-08,2013-09-13,2015-09-01,steel,599/90 VA,NULL,,0,SUCC,,,,,0,0,,0,,,,1,0,,,,,IV,NULL,NULL,GAS,
2,2,NULL,3,14,72,0,0,0,0,0,0,316,--,NULL,NULL,25,0,0,0,9,39,1887,3013,S. Cecilia,2011-09-01,2013-09-13,2014-09-01,steel,316,NULL,,0,SUCC,,,,,0,0,,0,,,,1,0,,,,,IV,-170,120,GAS,
3,3,NULL,3,14,72,0,0,0,0,0,0,309,--,NULL,NULL,50,0,0,0,9,39,1887,3013,S. Cecilia,2011-09-01,2013-09-13,2014-09-01,steel,309,NULL,,0,SUCC,,,,,0,0,,0,,,,1,0,,,,,IV,-170,120,GAS,
4,4,NULL,3,14,72,0,0,0,0,0,0,275,--,NULL,NULL,25,0,0,0,9,39,1887,3013,S. Cecilia,2011-09-01,2013-09-19,2014-02-01,steel,275,NULL,,0,SUCC,,,,,0,0,,0,,,,1,0,,,,,IV,-170,120,GAS,
5,8,NULL,3,14,72,0,0,0,0,0,0,230,--,NULL,NULL,25,0,0,0,9,39,1887,3013,S. Cecilia,2011-09-01,2013-09-19,2014-09-01,steel,230,NULL,,0,SUCC,,,,,0,0,,0,,,,1,0,,,,,IV,-170,120,GAS,
6,7,NULL,3,11,44,SIS,0,231/91 VA,1991,0,1991,7666,--,NULL,NULL,30000,17,0,0,9,39,1887,3013,S. Cecilia,1991-09-06,2013-09-19,2015-09-01,steel,231/91 VA,NULL,,0,SUCC,,,,,0,0,,0,,,,1,0,,,,,IV,NULL,NULL,GAS,
7,9,NULL,3,11,44,SIS,0,1048/90 VA,1990,0,1990,7665,--,NULL,NULL,30000,17,0,0,9,39,1887,3013,S. Cecilia,1990-06-08,2013-09-19,2015-09-01,steel,1048/90 VA,NULL,,0,SUCC,,,,,0,0,,0,,,,1,0,,,,,IV,NULL,NULL,GAS,
8,18,NULL,3,14,72,0,0,0,0,0,0,330,--,NULL,NULL,25,0,0,0,9,39,1887,3013,S. Cecilia,2011-09-01,2013-09-19,2014-09-01,steel,330,NULL,,0,SUCC,,,,,0,0,,0,,,,1,0,,,,,IV,-170,120,GAS,
9,6,NULL,3,14,72,0,0,0,0,0,0,344,--,NULL,NULL,50,0,0,0,9,39,1887,3013,S. Cecilia,2011-09-01,2013-09-19,2014-09-01,steel,344,NULL,,0,SUCC,,,,,0,0,,0,,,,1,0,,,,,IV,-170,120,GAS,
10,10,NULL,2,8,24,Mechanik Taucha Fordertechnik ,"GSX-T 250-2,55/1,5-2,3",OR/200006/2012,2012,2008,2012,830035/73,SI,NULL,250,NULL,NULL,NULL,NULL,10,80,5903,9080,Parco Eolico Montegrighine,2013-10-17,2013-10-17,2016-10-16,Altro,,NULL,,1,SUCC,2012,2,6,OR,0,0,,0,,,,0,0,,,,,,NULL,NULL,,
