id,date,attachment_id,state,report_file_dt
1,"2015-03-25 19:29:32",236579,3,"2019-05-20 15:05:04"
2,"2015-04-15 00:00:00",236581,3,"2019-05-20 15:08:11"
3,"2016-06-22 10:50:02",236577,3,"2019-05-20 15:04:44"
17,"2017-07-19 13:01:08",237222,3,"2019-05-22 18:41:04"
21,"2019-05-20 15:16:45",308116,3,"2020-02-07 17:40:05"
24,"2019-05-20 19:33:16",236667,3,"2019-05-20 19:35:18"
25,"2019-05-20 19:35:23",236672,3,"2019-05-20 19:46:35"
28,"2017-07-19 13:01:09",237231,3,"2019-05-22 18:53:58"
32,"2019-07-15 13:56:09",251875,3,"2019-07-15 13:56:59"
42,"2020-01-10 14:45:31",308031,3,"2020-02-07 15:48:53"
48,"2020-02-07 15:49:46",308114,3,"2020-02-07 17:37:09"
53,"2020-02-28 00:55:28",314988,3,"2020-02-28 00:56:06"
62,"2020-03-19 22:34:37",322521,3,"2020-03-19 22:35:01"
68,"2020-09-01 12:58:19",418812,3,"2021-01-16 23:32:20"
73,"2020-09-01 13:00:08",418814,3,"2021-01-16 23:32:55"
78,"2021-01-16 23:33:07",418815,3,"2021-01-16 23:35:09"
